City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Bonthe,SL,2022-02-06 16:41:57,7.5264,-12.505,85.32,62,5,13.98
173,Cidreira,BR,2022-02-06 16:41:57,-30.1811,-50.2056,81.48,51,18,12.66
174,Asyut,EG,2022-02-06 16:41:58,27.181,31.1837,60.98,39,0,8.52
175,Qaanaaq,GL,2022-02-06 16:39:58,77.484,-69.3632,-12.89,61,65,8.14
176,Berlevag,NO,2022-02-06 16:41:59,70.8578,29.0864,24.8,86,63,21.85
177,Tuatapere,NZ,2022-02-06 16:41:59,-46.1333,167.6833,39.81,92,3,3.83
178,Trelew,AR,2022-02-06 16:42:01,-43.249,-65.3051,79.34,24,29,14.58
179,Chuy,UY,2022-02-06 16:42:02,-33.6971,-53.4616,70.57,52,75,15.19
180,Nechi,CO,2022-02-06 16:42:02,8.0942,-74.7757,88.63,52,12,2.95
181,Gorontalo,ID,2022-02-06 16:37:06,0.5412,123.0595,73.76,95,94,3.94
182,Severobaykalsk,RU,2022-02-06 16:43:03,55.65,109.3167,2.61,89,66,5.82
183,Muros,ES,2022-02-06 16:43:04,42.7762,-9.0603,59.68,54,65,11.41
184,Kilindoni,TZ,2022-02-06 16:43:05,-7.9139,39.6668,81.46,83,100,11.52
185,Codrington,AU,2022-02-06 16:43:05,-38.2667,141.9667,60.75,71,0,10.6
186,Santa Isabel,BR,2022-02-06 16:43:06,-23.3156,-46.2214,85.57,85,100,7.67
187,Talavera,PH,2022-02-06 16:43:06,15.6167,120.9333,73.76,79,58,3.98
188,Pevek,RU,2022-02-06 16:43:07,69.7008,170.3133,-24.43,99,29,1.34
189,Arraial Do Cabo,BR,2022-02-06 16:43:08,-22.9661,-42.0278,93.06,49,0,16.11
190,Port-Gentil,GA,2022-02-06 16:43:08,-0.7193,8.7815,85.96,66,40,10.36
191,Honningsvag,NO,2022-02-06 16:43:09,70.9821,25.9704,29.95,74,40,28.77
192,Havoysund,NO,2022-02-06 16:43:09,70.9963,24.6622,30.43,74,30,29.1
193,Jamalpur,BD,2022-02-06 16:43:09,24.9167,89.9333,60.96,66,1,5.77
194,Umm Lajj,SA,2022-02-06 16:43:10,25.0213,37.2685,68.97,48,0,22.35
195,Coreau,BR,2022-02-06 16:43:10,-3.5333,-40.6567,94.62,35,94,5.79
196,Mar Del Plata,AR,2022-02-06 16:40:56,-38.0023,-57.5575,64.42,96,100,21.99
197,Ballina,AU,2022-02-06 16:43:11,-28.8667,153.5667,67.96,85,100,8.05
198,Birjand,IR,2022-02-06 16:43:12,32.8663,59.2211,41.47,45,0,0.0
199,Betanzos,ES,2022-02-06 16:43:13,43.2804,-8.2147,59.81,69,40,1.99
200,Malm,NO,2022-02-06 16:43:13,64.0721,11.2172,38.79,96,100,12.26
201,Esperance,AU,2022-02-06 16:43:14,-33.8667,121.9,66.04,87,21,27.69
202,Tambun,ID,2022-02-06 16:43:15,-6.2641,107.0712,78.69,87,84,5.68
203,Alamos,MX,2022-02-06 16:43:15,27.0167,-108.9333,67.3,39,0,3.06
204,Toms River,US,2022-02-06 16:43:16,39.9537,-74.1979,33.91,62,20,3.0
205,Bosaso,SO,2022-02-06 16:43:16,11.2842,49.1816,75.15,71,75,2.84
206,Guatire,VE,2022-02-06 16:43:17,10.4762,-66.5427,84.2,67,38,5.73
207,Krasnogorsk,RU,2022-02-06 16:43:18,55.8225,37.3181,21.06,93,40,4.47
208,Taunsa,PK,2022-02-06 16:43:18,30.7048,70.6505,59.13,41,1,8.68
209,Tabatinga,BR,2022-02-06 16:43:19,-4.2525,-69.9381,87.89,74,75,3.44
210,Atar,MR,2022-02-06 16:43:19,20.5169,-13.0499,91.49,6,0,6.93
211,Kautokeino,NO,2022-02-06 16:43:20,69.0125,23.0412,19.94,92,100,12.88
212,Banjar,ID,2022-02-06 16:43:20,-8.19,114.9675,78.66,93,99,3.02
213,Vestmannaeyjar,IS,2022-02-06 16:43:21,63.4427,-20.2734,31.19,69,0,11.5
214,Rzhyshchiv,UA,2022-02-06 16:43:21,49.9689,31.0463,36.57,83,91,12.53
215,Chokurdakh,RU,2022-02-06 16:43:22,70.6333,147.9167,-39.28,100,99,2.21
216,Mantua,IT,2022-02-06 16:43:22,45.1667,10.7833,48.74,86,57,5.66
217,San Rafael,AR,2022-02-06 16:43:23,-34.6177,-68.3301,76.33,32,0,11.41
218,Kloulklubed,PW,2022-02-06 16:43:23,7.0419,134.2556,79.3,81,100,21.92
219,Port Pirie,AU,2022-02-06 16:43:24,-33.1833,138.0167,75.29,28,91,14.58
220,Davila,PH,2022-02-06 16:43:24,18.4726,120.5763,74.26,83,44,15.43
221,Paka,MY,2022-02-06 16:43:25,4.6374,103.4368,78.73,94,100,4.61
222,Luderitz,NA,2022-02-06 16:39:47,-26.6481,15.1594,69.33,76,22,9.37
223,Alofi,NU,2022-02-06 16:43:25,-19.0595,-169.9187,73.29,100,100,2.3
224,Keetmanshoop,NA,2022-02-06 16:43:26,-26.5833,18.1333,81.52,47,63,16.11
225,Kruisfontein,ZA,2022-02-06 16:43:27,-34.0033,24.7314,77.88,67,64,10.22
226,Gizo,SB,2022-02-06 16:43:27,-8.103,156.8419,82.94,78,96,13.2
227,Iwanai,JP,2022-02-06 16:43:28,42.9744,140.5089,24.21,80,100,8.14
228,Geraldton,AU,2022-02-06 16:43:29,-28.7667,114.6,69.13,49,75,17.27
229,Nago,JP,2022-02-06 16:43:29,26.5881,127.9761,59.16,69,98,9.22
230,Labuhan,ID,2022-02-06 16:43:30,-6.8844,112.2051,78.4,90,100,7.56
231,Ipixuna,BR,2022-02-06 16:44:30,-1.7625,-48.8043,80.55,73,100,4.7
232,Nikolayevka,RU,2022-02-06 16:44:31,53.1257,47.2041,6.49,98,99,4.54
233,Jiaozuo,CN,2022-02-06 16:44:31,35.2397,113.2331,35.24,40,100,5.19
234,Honiara,SB,2022-02-06 16:44:32,-9.4333,159.95,78.58,89,99,2.04
235,General Pico,AR,2022-02-06 16:44:32,-35.6566,-63.7568,75.96,22,3,8.21
236,Isangel,VU,2022-02-06 16:43:53,-19.55,169.2667,79.2,90,100,13.42
237,Quatre Cocos,MU,2022-02-06 16:44:33,-20.2078,57.7625,80.71,82,51,11.61
238,Pangkalanbuun,ID,2022-02-06 16:44:34,-2.6833,111.6167,74.75,98,100,2.28
239,Saint-Joseph,RE,2022-02-06 16:44:35,-21.3667,55.6167,79.18,78,99,11.27
240,Namwala,ZM,2022-02-06 16:44:35,-15.7504,26.4384,65.55,98,100,3.4
241,Roald,NO,2022-02-06 16:44:36,62.5833,6.1333,39.34,75,75,10.36
242,Evensk,RU,2022-02-06 16:44:36,61.95,159.2333,4.24,61,0,10.87
243,Abu Kamal,SY,2022-02-06 16:44:37,34.4506,40.9171,55.85,42,57,5.48
244,Pecos,US,2022-02-06 16:44:38,31.4229,-103.4932,44.31,39,0,17.27
245,Rabaul,PG,2022-02-06 16:44:38,-4.1967,152.1721,80.06,77,51,6.17
246,Hami,CN,2022-02-06 16:44:39,42.8,93.45,27.52,29,73,15.82
247,Asau,RO,2022-02-06 16:44:39,46.4333,26.4,41.4,53,100,6.2
248,Kerema,PG,2022-02-06 16:44:40,-7.9631,145.7785,77.47,82,100,3.15
249,Carrollton,US,2022-02-06 16:44:16,32.9537,-96.8903,48.34,51,0,3.0
250,Kaitangata,NZ,2022-02-06 16:44:40,-46.2817,169.8464,45.93,84,5,2.48
251,Kisanga,TZ,2022-02-06 16:44:41,-7.4362,37.7034,75.76,84,100,1.45
252,Gao,ML,2022-02-06 16:44:41,16.6362,1.637,81.37,8,0,10.16
253,Katsuura,JP,2022-02-06 16:39:43,35.1333,140.3,39.31,44,12,10.42
254,Contai,IN,2022-02-06 16:40:27,21.7786,87.7536,65.08,56,89,4.65
255,Kovernino,RU,2022-02-06 16:44:43,57.1253,43.8142,1.51,100,57,4.12
256,Saint-Francois,FR,2022-02-06 16:44:44,46.4154,3.9054,47.64,66,100,13.8
257,Sal Rei,CV,2022-02-06 16:44:44,16.1833,-22.9167,75.76,64,40,18.41
258,Dongsheng,CN,2022-02-06 16:44:45,39.8161,109.9776,17.06,35,100,4.18
259,Shingu,JP,2022-02-06 16:44:46,33.7333,135.9833,39.9,71,7,6.82
260,Egvekinot,RU,2022-02-06 16:44:46,66.3167,-179.1667,-13.97,85,5,7.0
261,Lafiagi,NG,2022-02-06 16:44:47,8.8667,5.4167,97.11,10,0,2.55
262,Acapulco,MX,2022-02-06 16:42:51,16.8634,-99.8901,82.22,54,0,4.61
263,Kolvereid,NO,2022-02-06 16:44:48,64.8655,11.6047,34.83,86,100,19.08
264,Karratha,AU,2022-02-06 16:44:49,-20.7377,116.8463,84.25,79,37,1.9
265,Lazaro Cardenas,MX,2022-02-06 16:44:50,17.9583,-102.2,84.0,40,6,2.04
266,Sirawai,PH,2022-02-06 16:44:50,7.5854,122.1407,77.49,86,96,5.39
267,Paracuru,BR,2022-02-06 16:44:51,-3.41,-39.0306,87.82,59,60,11.79
268,Vysokogornyy,RU,2022-02-06 16:44:52,50.1167,139.15,-14.22,100,99,3.18
269,Olinda,BR,2022-02-06 16:44:52,-8.0089,-34.8553,85.73,58,40,8.05
270,Starosubkhangulovo,RU,2022-02-06 16:44:53,53.1031,57.4423,12.9,97,100,2.51
271,Wanxian,CN,2022-02-06 16:44:54,30.8039,108.3897,39.65,99,100,2.75
272,Hamilton,US,2022-02-06 16:44:54,39.1834,-84.5333,36.05,68,0,1.01
273,Ust-Kuyga,RU,2022-02-06 16:44:54,70.0167,135.6,-46.77,100,100,4.21
274,Armacao De Pera,PT,2022-02-06 16:44:55,37.1026,-8.357,64.31,66,1,3.4
275,Jacmel,HT,2022-02-06 16:44:56,18.2342,-72.5347,84.04,54,0,6.58
276,Mecca,SA,2022-02-06 16:45:26,21.4267,39.8261,70.47,35,0,8.55
277,Alzamay,RU,2022-02-06 16:45:57,55.5562,98.6644,8.51,96,100,2.64
278,Aleksandrov Gay,RU,2022-02-06 16:45:57,50.147,48.5704,8.73,95,89,7.43
279,Qasigiannguit,GL,2022-02-06 16:44:47,68.8193,-51.1922,-0.15,86,100,2.8
280,Faya,SA,2022-02-06 16:45:04,18.3851,42.4509,55.51,70,5,4.29
281,Never,FR,2022-02-06 16:45:59,46.9896,3.159,47.95,93,100,14.97
282,Kurilsk,RU,2022-02-06 16:45:59,45.2333,147.8833,22.95,78,97,8.75
283,Norton,ZW,2022-02-06 16:46:00,-17.8833,30.7,62.37,78,34,5.46
284,Smithers,CA,2022-02-06 16:46:00,54.7804,-127.1743,34.12,69,40,0.0
285,Sunam,IN,2022-02-06 16:46:01,30.1333,75.8,52.92,70,63,6.64
286,Mount Isa,AU,2022-02-06 16:46:02,-20.7333,139.5,76.77,65,100,5.75
287,Sur,OM,2022-02-06 16:45:40,22.5667,59.5289,71.74,71,0,8.25
288,Hambantota,LK,2022-02-06 16:43:36,6.1241,81.1185,76.32,74,99,12.8
289,Vega De Alatorre,MX,2022-02-06 16:46:03,20.0333,-96.6333,60.75,71,8,4.72
290,Tres Arroyos,AR,2022-02-06 16:46:04,-38.3739,-60.2798,67.42,73,88,15.95
291,Soyo,AO,2022-02-06 16:46:05,-6.1349,12.3689,79.68,78,30,11.63
292,Yar-Sale,RU,2022-02-06 16:46:05,66.8333,70.8333,-14.48,100,68,6.35
293,Ust-Nera,RU,2022-02-06 16:46:06,64.5667,143.2,-24.18,76,6,3.22
294,Sao Filipe,CV,2022-02-06 16:46:06,14.8961,-24.4956,75.13,68,0,10.58
