City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Los Algarrobos,PA,8.5,-82.4333,71.02,75,26,4.76,scattered clouds
159,Port Hardy,CA,50.6996,-127.4199,48.76,93,100,0.0,light rain
160,Lompoc,US,34.6391,-120.4579,62.44,87,0,4.61,clear sky
161,Zverinogolovskoye,RU,54.4586,64.8542,18.43,88,90,11.5,overcast clouds
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.16,96,100,16.26,light rain
163,Rokytne,UA,51.2796,27.214,34.02,83,91,12.41,overcast clouds
164,Acapulco,MX,16.8634,-99.8901,75.02,83,0,4.61,clear sky
165,Taoudenni,ML,22.6783,-3.9836,61.54,18,0,12.06,clear sky
166,Boguchany,RU,58.3814,97.4531,-6.43,87,55,4.12,broken clouds
167,Edd,ER,13.9297,41.6925,82.67,50,10,15.14,clear sky
168,Saint-Philippe,RE,-21.3585,55.7679,83.79,81,96,8.7,overcast clouds
169,Tsiroanomandidy,MG,-18.7667,46.0333,76.03,78,89,2.28,overcast clouds
170,San Quintin,MX,30.4833,-115.95,59.81,47,35,1.86,scattered clouds
171,Bubaque,GW,11.2833,-15.8333,77.14,67,10,11.45,clear sky
172,Lebu,CL,-37.6167,-73.65,57.47,81,4,18.23,clear sky
173,Ahipara,NZ,-35.1667,173.1667,77.04,76,7,11.74,clear sky
174,Hualmay,PE,-11.0964,-77.6139,69.4,82,67,6.51,broken clouds
175,Bryan,US,30.6744,-96.37,49.82,49,0,4.61,clear sky
176,Saint George,US,37.1041,-113.5841,52.36,22,0,10.36,clear sky
177,Lieto,FI,60.5103,22.4618,30.7,99,12,3.44,few clouds
178,Necochea,AR,-38.5473,-58.7368,60.04,74,64,8.84,broken clouds
179,Bambous Virieux,MU,-20.3428,57.7575,83.21,69,40,9.22,scattered clouds
180,Riverton,US,40.5219,-111.9391,40.19,58,0,3.44,clear sky
181,Kargasok,RU,59.0556,80.8572,-5.49,95,33,6.51,scattered clouds
182,Juegang,CN,32.3174,121.1855,45.91,78,100,4.79,light rain
183,Castro,BR,-24.7911,-50.0119,60.66,97,73,8.14,broken clouds
184,Rockport,US,28.0206,-97.0544,54.0,82,0,5.75,clear sky
185,Isiro,CD,2.7739,27.616,72.9,35,52,2.71,broken clouds
186,Najran,SA,17.4924,44.1277,54.25,29,12,3.09,few clouds
187,Kiunga,PG,-6.1219,141.2906,87.93,67,90,1.21,overcast clouds
188,Tiksi,RU,71.6872,128.8694,-19.17,98,58,10.36,broken clouds
189,Narsaq,GL,60.9167,-46.05,3.42,67,26,11.01,scattered clouds
190,Mbandaka,CD,0.0487,18.2603,72.81,42,73,2.93,broken clouds
191,Marawi,PH,7.9986,124.2928,72.64,92,99,4.88,overcast clouds
192,Pevek,RU,69.7008,170.3133,-31.63,100,81,3.04,broken clouds
193,East London,ZA,-33.0153,27.9116,61.74,94,20,10.36,few clouds
194,Kishanpur,IN,25.65,81.0167,74.64,41,63,9.4,broken clouds
195,Sao Joao Da Ponte,BR,-15.9292,-44.0078,67.39,92,99,2.19,overcast clouds
196,Bethel,US,41.3712,-73.414,31.5,72,5,1.01,clear sky
197,Isla Vista,US,34.4133,-119.861,69.37,52,0,0.0,clear sky
198,Babu,CN,24.4167,111.5167,44.11,87,98,6.42,overcast clouds
199,Imbituba,BR,-28.24,-48.6703,71.49,91,16,6.71,few clouds
200,Dafeng,CN,23.4517,108.5881,46.0,84,100,5.19,overcast clouds
201,North Platte,US,41.1239,-100.7654,35.98,46,0,5.99,clear sky
202,Poum,NC,-20.2333,164.0167,81.32,88,100,29.12,overcast clouds
203,Wajir,KE,1.7471,40.0573,78.76,57,0,9.22,clear sky
204,Thinadhoo,MV,0.5333,72.9333,83.35,67,88,13.73,overcast clouds
205,Airai,TL,-8.9266,125.4092,68.72,85,100,2.44,light rain
206,Omboue,GA,-1.5746,9.2618,76.12,91,88,4.74,moderate rain
207,Dera Ghazi Khan,PK,30.0561,70.6348,67.01,38,0,5.73,clear sky
208,Sakakah,SA,29.9697,40.2064,47.77,35,0,8.03,clear sky
209,Krutikha,RU,53.9599,81.2093,4.84,84,8,8.52,clear sky
210,Port Macquarie,AU,-31.4333,152.9167,83.89,57,16,9.78,few clouds
211,Mana,GF,5.6592,-53.7767,75.74,87,48,4.18,scattered clouds
212,Bressanone,IT,46.715,11.656,51.46,73,9,3.0,clear sky
213,Sorland,NO,67.667,12.6934,33.87,59,99,30.58,overcast clouds
214,Imeni Babushkina,RU,59.7573,43.1285,25.43,97,100,4.54,overcast clouds
215,Dingle,PH,10.9995,122.6711,82.94,67,64,15.21,broken clouds
216,Alenquer,BR,-1.9417,-54.7383,75.54,98,100,1.83,overcast clouds
217,Nantucket,US,41.2835,-70.0995,35.71,69,0,21.85,clear sky
218,Arys,KZ,42.4252,68.795,39.42,64,74,5.79,broken clouds
219,Pierre,US,44.3683,-100.351,44.28,55,75,21.99,broken clouds
220,Ankang,CN,32.68,109.0172,48.18,42,33,1.3,scattered clouds
221,Khatanga,RU,71.9667,102.5,1.45,87,99,15.84,overcast clouds
222,Sisimiut,GL,66.9395,-53.6735,2.05,69,100,18.79,overcast clouds
223,Humaita,BR,-7.5061,-63.0208,73.74,98,100,3.0,light rain
224,Esil,KZ,51.9556,66.4042,16.32,87,85,13.6,overcast clouds
225,Makariv,UA,50.4641,29.8113,33.89,98,100,14.7,overcast clouds
226,Thompson,CA,55.7435,-97.8558,6.96,72,100,14.97,overcast clouds
227,Powell River,CA,49.8496,-124.5361,44.87,93,100,4.56,overcast clouds
228,Cabra,ES,37.4725,-4.4421,47.14,76,0,4.16,clear sky
229,Tasiilaq,GL,65.6145,-37.6368,21.36,68,100,9.28,overcast clouds
230,Kristiinankaupunki,FI,62.2743,21.376,28.38,91,6,11.77,clear sky
231,Dibulla,CO,11.2725,-73.3091,75.16,90,31,8.25,scattered clouds
232,Andra,RU,62.5147,65.8878,1.78,98,94,8.48,overcast clouds
233,Arlit,NE,18.7369,7.3853,61.88,11,0,7.2,clear sky
234,Alta Floresta,BR,-9.8756,-56.0861,71.29,97,100,1.66,overcast clouds
235,Vao,NC,-22.6667,167.4833,81.09,84,93,15.03,overcast clouds
236,Eureka,US,40.8021,-124.1637,45.79,73,29,3.91,scattered clouds
237,Kaliua,TZ,-5.0606,31.7936,68.83,88,96,2.98,overcast clouds
238,Gouyave,GD,12.1646,-61.7296,74.17,83,20,0.0,few clouds
239,Saint Anthony,US,45.0205,-93.218,37.42,82,100,14.97,overcast clouds
240,Hryshkivtsi,UA,49.9353,28.6038,34.12,93,100,16.64,overcast clouds
241,Vaitape,PF,-16.5167,-151.75,81.1,77,28,15.95,scattered clouds
242,Port Moresby,PG,-9.4431,147.1797,90.82,58,40,9.4,haze
243,Presque Isle,US,46.6811,-68.0159,30.18,94,100,10.36,snow
244,Prescott,US,34.54,-112.4685,47.89,27,0,4.61,clear sky
245,Sao Borja,BR,-28.6606,-56.0044,64.94,47,0,6.71,clear sky
246,Tuatapere,NZ,-46.1333,167.6833,64.81,78,100,2.98,overcast clouds
247,Kaeo,NZ,-35.1,173.7833,76.32,89,24,8.63,few clouds
248,Komsomolskiy,UZ,40.4272,71.7189,43.52,56,99,2.3,overcast clouds
249,Olafsvik,IS,64.8945,-23.7142,29.8,76,91,35.77,overcast clouds
