City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Sai Buri,TH,83.91,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
571,Acarau,BR,78.12,scattered clouds,-2.8856,-40.12,castelo pizzaria
575,Ambilobe,MG,78.03,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
584,Kiama,AU,90.0,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
589,Waingapu,ID,85.1,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
591,Micheweni,TZ,81.23,broken clouds,-4.9667,39.8333,
593,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
597,Alyangula,AU,85.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
599,Muisne,EC,75.09,light rain,0.6,-80.0333,Quinta Samay
603,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
605,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
607,Pointe Michel,DM,76.98,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
617,Mount Gambier,AU,75.11,scattered clouds,-37.8333,140.7667,The Commodore
619,Axim,GH,76.89,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
622,Daru,PG,84.18,broken clouds,-9.0763,143.2092,Daru Lodge
643,Vanimo,PG,84.92,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
647,Wanning,CN,75.6,broken clouds,18.8003,110.3967,Paradise Hotel
649,Kendari,ID,84.07,overcast clouds,-3.945,122.4989,Hotel Wixel
658,Port Keats,AU,87.84,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
660,Puro,PH,83.34,broken clouds,12.4841,123.3827,
666,Ugoofaaru,MV,81.05,overcast clouds,5.6667,73.0,Ungoofaaru Inn
669,Tual,ID,83.07,light rain,-5.6667,132.75,Grand Vilia Hotel
670,Tamandare,BR,77.31,few clouds,-8.7597,-35.1047,Pousada 100 Passos
672,Nanyamba,TZ,76.68,overcast clouds,-10.6833,39.8333,Busati Lodge Nanyamba
678,Payo,ID,82.06,overcast clouds,-3.7508,103.6372,Mess keban agung
679,Cockburn Town,TC,77.2,clear sky,21.4612,-71.1419,Osprey Beach Hotel
680,Bako,ET,77.79,broken clouds,5.7833,36.5667,Goh Hotel
681,Camacari,BR,80.37,clear sky,-12.6975,-38.3242,Hotel Cambuci
686,Lethem,GY,77.16,overcast clouds,3.3803,-59.7968,Savannah Inn
695,Lorengau,PG,84.33,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
702,Batemans Bay,AU,88.99,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
703,San Rafael,AR,75.07,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
707,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
712,Maryborough,AU,82.81,scattered clouds,-25.5333,152.7,Blue Shades Motel
716,Kerema,PG,85.17,overcast clouds,-7.9631,145.7785,Frena Lodge
717,Bogale,MM,89.22,broken clouds,16.2833,95.4,Aung Pin Lel Guest House
